POB1;SUP;DENSIDAD;X;y;Latitude;Longitude
206;1.12514354369;183.08775014100;673206;2290615;20.70704;-103.33682
197;0.97179110625;202.71846360000;673252;2290526;20.70624;-103.33638
188;1.81609326152;103.51891281300;673179;2290484;20.70586;-103.33709
147;0.94966723662;154.79106189200;673248;2290371;20.70484;-103.33644
102;0.94684218789;107.72650532900;673286;2290231;20.70357;-103.33609
115;0.65774424516;174.83999418700;673300;2290196;20.70325;-103.33596
121;0.47535373172;254.54728116100;673348;2290164;20.70296;-103.3355
134;0.69312175837;193.32822607500;673280;2290150;20.70284;-103.33615
123;0.63981260755;192.24378911600;673255;2290095;20.70234;-103.3364
82;0.24076706479;340.57814373600;673149;2290088;20.70229;-103.33742
45;0.23681169583;190.02439825700;673121;2290055;20.70199;-103.33769
46;0.41279382087;111.43577659000;673120;2289972;20.70124;-103.33771
0;2.69785504278;0.00000000000;673284;2289878;20.70038;-103.33614
81;0.48027293211;168.65410183200;673411;2291863;20.7183;-103.33473
108;0.43885505456;246.09492104200;673415;2291768;20.71744;-103.3347
104;0.55364330323;187.84657810100;673342;2291952;20.71911;-103.33538
106;0.56012716180;189.24274205700;673280;2291864;20.71832;-103.33598
75;0.41061724472;182.65185148600;673423;2291682;20.71666;-103.33463
78;0.33620669071;232.00014204100;673428;2291612;20.71603;-103.33459
184;0.45796391857;401.77837716100;671650;2289956;20.70124;-103.35182
123;0.38065167536;323.13006341600;671633;2289885;20.7006;-103.35199
98;0.22598938178;433.64869281400;671671;2289878;20.70053;-103.35162
84;0.27900019034;301.07506341400;671732;2289869;20.70044;-103.35104
70;0.40276807073;173.79729200900;671691;2289935;20.70104;-103.35143
22;0.02660039771;827.05530331900;671491;2289900;20.70074;-103.35335
41;0.02411136671;1700.44280347000;671490;2289885;20.70061;-103.35336
38;0.02090029941;1818.15577170000;671460;2289905;20.70079;-103.35365
33;0.02234433955;1476.88410845000;671488;2289861;20.70039;-103.35338
43;0.02093831714;2053.65119467000;671464;2289864;20.70042;-103.35361
134;0.50897959357;263.27185155100;671565;2289963;20.70131;-103.35263
66;0.42549399545;155.11382229900;671561;2289898;20.70072;-103.35268
103;0.37926471939;271.57812139000;671468;2289972;20.7014;-103.35356
65;0.23889058563;272.09109069400;671415;2289977;20.70145;-103.35407
26;0.36529945841;71.17448274620;671413;2289925;20.70098;-103.3541
134;0.88633522838;151.18433264200;671802;2289960;20.70126;-103.35036
44;0.25085396652;175.40085417300;672530;2289137;20.69376;-103.34345
29;0.25421704235;114.07575090900;672470;2289131;20.69371;-103.34403
51;0.26656706818;191.32145747800;672531;2289124;20.69364;-103.34344
42;0.24503692197;171.40274070700;672475;2289069;20.69315;-103.34399
133;0.33619729004;395.60104718200;672412;2289129;20.6937;-103.34458
0;0.03631616246;0.00000000000;672262;2289098;20.69343;-103.34603
22;0.02251844880;976.97670916000;672411;2289096;20.6934;-103.3446
106;0.19413823525;546.00269681600;672396;2289095;20.69339;-103.34474
33;0.21521180397;153.33731417800;672337;2289084;20.6933;-103.34531
20;0.02133268541;937.52847387400;672296;2289109;20.69353;-103.3457
123;0.80437240567;152.91424610500;672623;2289140;20.69378;-103.34256
88;0.49661417710;177.19993519700;672593;2289078;20.69322;-103.34285
14;0.05127758435;273.02378176800;672730;2289190;20.69422;-103.34153
42;0.26960402165;155.78402630300;672729;2289083;20.69325;-103.34155
56;0.20813260647;269.05923560100;672605;2289046;20.69293;-103.34274
70;0.37822566359;185.07469676900;672541;2288966;20.69221;-103.34336
76;0.38112139078;199.41153091700;672479;2288963;20.69219;-103.34396
71;0.36735000638;193.27616378700;672414;2289040;20.69289;-103.34457
79;0.53762390894;146.94286970200;672361;2288958;20.69216;-103.34509
106;0.59607661176;177.82949021700;672280;2288952;20.69211;-103.34587
90;0.36061581987;249.57307760800;672197;2288948;20.69208;-103.34667
161;0.81285000841;198.06852227700;672110;2288985;20.69242;-103.3475
141;0.16144193593;873.37902129300;672232;2289071;20.69319;-103.34632
43;0.15909518010;270.27845830400;672542;2288957;20.69213;-103.34335
72;0.36640714055;196.50272069500;672483;2288881;20.69145;-103.34393
88;0.30968112705;284.16326444700;672419;2288950;20.69208;-103.34454
69;0.51045145754;135.17445974800;672366;2288875;20.69141;-103.34505
92;0.50613362399;181.77018012600;672284;2288872;20.69139;-103.34584
63;0.13038125647;483.19828867800;672151;2288865;20.69134;-103.34712
42;0.53301956702;78.79635682990;672123;2288865;20.69134;-103.34738
7;0.33922025259;20.63556036670;672154;2288782;20.69059;-103.3471
49;0.30376147807;161.31077683200;672205;2288783;20.69059;-103.34661
68;0.53627708195;126.80012308800;672282;2288863;20.6913;-103.34586
119;0.51826308575;229.61311209100;672369;2288792;20.69066;-103.34503
71;0.34135604439;207.99397335300;672427;2288795;20.69068;-103.34447
119;0.47730632280;249.31578383700;673402;2291968;20.71925;-103.3348
106;0.73385176266;144.44334045800;673344;2291966;20.71923;-103.33536
92;0.36289729574;253.51525370700;673388;2292151;20.7209;-103.33492
85;0.52559418839;161.72172729000;673250;2292076;20.72024;-103.33625
103;0.24843100431;414.60203523000;673453;2292203;20.72136;-103.33429
194;0.60917407754;318.46397795500;673335;2292076;20.72023;-103.33543
68;0.26750823777;254.19777935500;673527;2292199;20.72132;-103.33358
72;0.31431309975;229.07094886600;673615;2292197;20.72129;-103.33273
78;0.65662064311;118.79005148300;673261;2291963;20.71921;-103.33616
96;0.22569250440;425.35750248700;673388;2292160;20.72098;-103.33492
0;0.28468035323;0.00000000000;669132;2288375;20.68718;-103.37614
87;0.35878024721;242.48826594300;669273;2288372;20.68714;-103.37479
0;0.34721521436;0.00000000000;669407;2288372;20.68713;-103.3735
0;0.03971206209;0.00000000000;669023;2287728;20.68135;-103.37725
0;0.32091990453;0.00000000000;669801;2287498;20.6792;-103.3698
0;0.03794333314;0.00000000000;669494;2287492;20.67918;-103.37275
0;0.05476975023;0.00000000000;669584;2287492;20.67917;-103.37189
40;0.46239497208;86.50613093800;670059;2287508;20.67927;-103.36733
0;0.09305930783;0.00000000000;669952;2287468;20.67892;-103.36836
0;0.17711475765;0.00000000000;669886;2287499;20.6792;-103.36899
57;0.57742427403;98.71424282530;670173;2287511;20.67929;-103.36623
53;0.87767130418;60.38707172920;670318;2287513;20.67929;-103.36484
67;0.66487440320;100.77091203700;670420;2287515;20.6793;-103.36386
79;0.60493151073;130.59329626400;670505;2287515;20.67929;-103.36305
91;0.59075083029;154.04125620000;670588;2287439;20.6786;-103.36226
87;0.70096570307;124.11448893900;670691;2287442;20.67862;-103.36127
54;0.65299855910;82.69543515410;670791;2287447;20.67865;-103.36031
22;0.01748789309;1258.01318039000;670132;2288390;20.68723;-103.36654
16;0.01570306420;1018.90941739000;670131;2288382;20.68716;-103.36655
23;0.22590400880;101.81315560700;670791;2287438;20.67857;-103.36031
0;0.06201347781;0.00000000000;670691;2287434;20.67854;-103.36127
0;0.34904596290;0.00000000000;669965;2286099;20.66655;-103.36837
127;1.22680780777;103.52069753400;670782;2286511;20.6702;-103.36048
2;0.95067962049;2.10375815036;670667;2286534;20.67042;-103.36159
36;0.66312400394;54.28848870850;670607;2286559;20.67065;-103.36216
38;0.70601368071;53.82331963010;670553;2286585;20.67089;-103.36268
57;0.69330510111;82.21488621460;670494;2286608;20.6711;-103.36324
56;0.73559570064;76.12877556400;670439;2286631;20.67131;-103.36376
46;1.24526117661;36.94004186750;670319;2286682;20.67179;-103.36491
67;0.69850204041;95.91954800960;670376;2286657;20.67155;-103.36437
40;0.66159646780;60.45981492760;670711;2286780;20.67263;-103.36114
0;0.07287041487;0.00000000000;670713;2286772;20.67256;-103.36112
